url;title;weight_g;weight_oz
"0.5oz";"";"";""
"https://omonete.ru/coins/5673/";"Australian Lunar Series II 2017 Year of the Rooster Silver Proof Three Coin Set (2oz 1oz 1/2oz)";"62.2g";"1/2oz"

"1oz";"";"";""
"https://omonete.ru/coins/4218/";"1857-1931 Australian Sovereign Prestige Collection";"8g";"1oz"
"https://omonete.ru/coins/4219/";"1899 Queen Victoria Veiled Head Perth Mint Sovereign";"8g";"1oz"
"https://omonete.ru/coins/4220/";"The Perth Mint Gold Sovereigns 1899 and 1931";"8g";"1oz"
"https://omonete.ru/coins/4223/";"1925 and 2025 Perth Mint Gold Sovereign Centenary Pair";"8g";"1oz"
"https://omonete.ru/coins/4224/";"1926 King George V South African Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/4225/";"1927 King George V South African Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/4226/";"2021 Australian Lunar Series III Year of the Ox Silver Proof Three-Coin Set";"15.55g";"1oz"
"https://omonete.ru/coins/4243/";"Australia Sovereign 2021 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/4244/";"Australia Sovereign 2021 Gold Proof High Relief Piedfort Coin";"16g";"1oz"
"https://omonete.ru/coins/4245/";"Australia Sovereign 2022 Gold Proof High Relief Piedfort Coin";"16g";"1oz"
"https://omonete.ru/coins/4246/";"Australia Sovereign 2025 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/4247/";"Australia Sovereign 2025 Gold Proof Three-Coin Set";"8g";"1oz"
"https://omonete.ru/coins/4334/";"Australian Lunar Series III 2023 Year of the Rabbit Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/4335/";"Australian Lunar Series III 2024 Year of the Dragon Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/4337/";"Australian Lunar Series III 2026 Year of the Horse Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/4574/";"The 200th Anniversary of the Shield Back Sovereign Two-Coin Set";"8g";"1oz"
"https://omonete.ru/coins/4580/";"The Half Sovereign 2025 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/4581/";"The Half Sovereign 2026 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/4589/";"The Perth Mint’s 125th Anniversary Australia Sovereign 2024 Gold Two-Coin Set";"8g";"1oz"
"https://omonete.ru/coins/4590/";"The Perth Mint’s 125th Australia Five Sovereign 2024 Gold Proof Gilded Coin";"39.9g";"1oz"
"https://omonete.ru/coins/4594/";"The Sovereign 2026 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/4595/";"The Sovereign 2026 Silver Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/4669/";"Australian Lunar Series III 2022 Year of the Tiger Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/4718/";"Australian Lunar Series III 2025 Year of the Snake Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/4772/";"The Perth Mint’s 125th Anniversary Australia Double Sovereign 2024 Gold Proof Coin";"16g";"1oz"
"https://omonete.ru/coins/4773/";"The Perth Mint’s 125th Anniversary Australia Quarter Sovereign 2024 Gold Proof Coin";"2g";"1oz"
"https://omonete.ru/coins/4774/";"The Perth Mint’s 125th Anniversary Australia Sovereign 2024 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/4775/";"The Perth Mint’s 125th Anniversary Australia Sovereign 2024 Gold Proof Five-Coin Set";"39.9g";"1oz"
"https://omonete.ru/coins/4776/";"The Perth Mint’s 125th Anniversary Australia Sovereign 2024 Gold Proof Three-Coin Set";"8g";"1oz"
"https://omonete.ru/coins/5208/";"1910 King Edward VII Sovereign Mintmark Trio";"8g";"1oz"
"https://omonete.ru/coins/5209/";"1911 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5210/";"1912 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5211/";"1913 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5212/";"1914 Gold Sovereign Mintmark Trio";"8g";"1oz"
"https://omonete.ru/coins/5213/";"1914 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5214/";"1915 Gold Sovereign Mintmark Trio";"8g";"1oz"
"https://omonete.ru/coins/5215/";"1915 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5216/";"1916 King George V Gold Sovereign Mintmark Trio";"8g";"1oz"
"https://omonete.ru/coins/5217/";"1916 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5218/";"1917 Gold Sovereign Mintmark Trio";"8g";"1oz"
"https://omonete.ru/coins/5219/";"1917 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5220/";"1918 Gold Sovereign Mintmark Trio";"8g";"1oz"
"https://omonete.ru/coins/5221/";"1918 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5222/";"1919 Gold Sovereign Mintmark Trio";"8g";"1oz"
"https://omonete.ru/coins/5223/";"1919 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5224/";"1920 King George V Perth Mint Gold Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5225/";"1925 King George V London Mint Sovereign";"8g";"1oz"
"https://omonete.ru/coins/5241/";"Australia Double Sovereign 2019 Gold Proof Coin";"16g";"1oz"
"https://omonete.ru/coins/5258/";"Australia Double Sovereign 2018 Gold Proof Coin";"16g";"1oz"
"https://omonete.ru/coins/5259/";"Australia Five Sovereign 2025 Gold Proof Reverse Gilded Coin";"39.9g";"1oz"
"https://omonete.ru/coins/5260/";"Australia Half Sovereign 2016 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/5261/";"Australia Half Sovereign 2017 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/5262/";"Australia Sovereign 2014 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5263/";"Australia Sovereign 2015 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5264/";"Australia Sovereign 2016 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5265/";"Australia Sovereign 2017 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5266/";"Australia Sovereign 2018 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5267/";"Australia Sovereign 2020 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5457/";"Australian Sovereign 2020 Gold Proof High Relief Piedfort Coin";"16g";"1oz"
"https://omonete.ru/coins/5549/";"Perth Mint Great War Gold Sovereign Collection 1914–1918";"8g";"1oz"
"https://omonete.ru/coins/5624/";"Australian Lunar Series II 2019 Year of the Pig Gold Proof Three-Coin Set";"3.11g";"1oz"
"https://omonete.ru/coins/5625/";"Australian Lunar Series II 2018 Year of the Dog Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/5635/";"Australian Lunar Series II 2013 Year of the Snake Three-Coin Set";"62.3g";"1oz"
"https://omonete.ru/coins/5648/";"Australian Lunar Series II 2014 Year of the Horse Silver Three-Coin Set";"62.3g";"1oz"
"https://omonete.ru/coins/5661/";"Australian Lunar Series II 2015 Year of the Goat Silver Proof Three-Coin Set";"62.3g";"1oz"
"https://omonete.ru/coins/5672/";"Australian Lunar Series II 2017 Year of the Rooster Gold Proof Three-Coin Set";"3.11g";"1oz"
"https://omonete.ru/coins/5689/";"Australian Lunar Series III 2020 Year of the Mouse Silver Proof Three Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/5786/";"Perth Mint 2021 Gold Sovereign Anniversary Two-Coin Set";"8g";"1oz"
"https://omonete.ru/coins/5793/";"Australian Lunar Silver Coin Series II 2019 Year of the Pig Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/5799/";"The Half Sovereign 2025 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/5800/";"The Half Sovereign 2026 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/5803/";"The Sovereign 2026 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5804/";"The Sovereign 2026 Silver Proof Coin";"8g";"1oz"